Country,Datetime,Tweet Id,Text,Username,Tweets_clean,VADER_class,VADER_score
Mexico,2022-12-01 03:50:06+00:00,1598162498611744768,Well.. I’m sad about our neighbors Mexico and Canada 😞#FIFAWorldCup,_althorson,well i ’ m sad about our and canada 😞,Negative,-0.6249
Mexico,2022-12-01 03:43:49+00:00,1598160914704109569,"@PemudaJalanan5 @TheOathKeeeper @FIFAWorldCup Poland only performed good with Saudi. The game against Mexico and Argentina, they were getting dominated",Lucchiano93,pemudajalanan5 only good with the game against and they were getting dominated,Neutral,0.4404
Mexico,2022-12-01 03:39:10+00:00,1598159745520922624,@xxoalicja @Kromahm10 @FIFAWorldCup They really don’t. They performed poor against Argentina and Against Mexico. Argentina definitely was pulling their hair. France is playing by far better than Argentina. France is definitely gonna snap their necks. Mexico at least would put up a fight!,Lucchiano93,kromahm10 they really don ’ t poor against and definitely was their hair is by far better than snap at least would put up a fight,Neutral,-0.0258
Mexico,2022-12-01 03:39:03+00:00,1598159715812667393,"Thanks to Saudi Arabia for making calculation easy. Had they not scored the Goal against Mexico then:
 
 - Mexico and Poland GD would have been same.
 
In that case who would have qualified for round of 16 ? (remember Mexico vs Poland was draw)

#FIFAWorldCup",abdullah_0mar,thanks to for making calculation easy had they not scored the goal against then and would have been same in that case who qualified round of 16 remember was draw,Positive,0.7003
Mexico,2022-12-01 03:30:28+00:00,1598157556228452352,"@duplexkeen @pampidoo_ @FIFAWorldCup its just numbers
Poland won 2-0 with SA and Mexico won 2-1 
too bad they lost a point so they are out but those are the rules",GLUREKofficial,its just won 20 with sa and 21 too bad they lost a point so are out but those the,Neutral,-0.1406
Mexico,2022-12-01 03:28:14+00:00,1598156996720873472,"1 st time in History #FIFAWorldCupQatar2022 
All four female refree in #GermanyvsCostaRica MATCH
#Germany vs #CostaRica 
#MEXICO 02 - #SaudiArabia 1 (#MexicovsSaudiArabia )
#Argentina 02 - #Poland 0, (#PolandVsArgentina )
#FIFAWorldCup (#Reaction time of Men's and Women's) ? https://t.co/r9UQC0Esuu",notout100com,1 st time in history fifaworldcupqatar2022 all four female match 02 0 reaction of and,Neutral,0.0
Mexico,2022-12-01 03:20:09+00:00,1598154960445001730,"Guillermo 'Memo' Ochoa retirement announcement knowing that the  2026 #FIFAWorldCup hosted by Canada, Mexico, and the United States of America. https://t.co/GrCxQSO8KN",jimmiewaverly,memo retirement announcement knowing that the 2026 by canada and united of,Neutral,0.4215
Mexico,2022-12-01 03:06:54+00:00,1598151623846506496,"40) #KSAMEX : Saudi Arabia KNOCKED OUT Mexico and let Poland to reach 'Round of 16', after not losing against Mexico by a 2-goal margin at the last min. Mexico won by 2-1. #Qatar2022 #FIFAWorldCup",bana111das,40 out and let to reach round of 16 after not losing against by a 2goal margin at the last min won 21 qatar2022,Positive,0.717
Mexico,2022-12-01 02:56:23+00:00,1598148980189581312,"#UPDATE Argentina's victory propelled Lionel Scaloni's side to the top of Group C and they will face Australia in the last-16 while second-placed Poland, who qualified on goal difference after Mexico beat Saudi Arabia 2-1, take on reigning champions France.

#FIFAWorldCup #Qatar https://t.co/Uvm8GE10Pw",AfricaTembelea,update victory lionel side to the top of group c and they will face in last16 while who qualified on goal difference after beat 21 take,Neutral,0.2023
Mexico,2022-12-01 02:55:37+00:00,1598148786135916544,"Australia, Argentina and Poland advanced into the #FIFAWorldCup round of 16 as Mexico, Saudi Arabia, Denmark and Tunisia were eliminated https://t.co/SF57nyUwbb https://t.co/6QTbRGQGb3",XHSports,and advanced into the round of 16 as were,Neutral,0.25
Mexico,2022-12-01 02:50:04+00:00,1598147388463775744,Thank you Argentina 🇦🇷 Poland 🇵🇱 Mexico 🇲🇽 and Saudi Arabia 🇸🇦 for one of the greatest 20 minute thrill rides I have ever had. #FIFAWorldCup,sfutterman,thank you 🇦🇷 🇵🇱 🇲🇽 and 🇸🇦 for one of the 20 minute thrill i have ever had,Positive,0.6124
Mexico,2022-12-01 02:42:17+00:00,1598145429518286849,"Damn why always end up missing the good part of the match by dozzing off! Grrr hate having #WorldCup in winter. Anyway glad finally #Argentina is back on track, sad for #Mexico though, they really deserved to progress to Round of 16 and not chokers #Poland ! #FIFAWorldCup",pkg_lonewolf,damn why always end up missing the good part of match by off hate in winter anyway glad finally is back on track sad for though they really deserved to progress round 16 and not,Neutral,-0.4091
